Disease,F1 Score,Precision,Recall
Cardiomegaly,0.3245348334054522,0.30193236714975846,0.3507951356407858
Emphysema,0.3989983305509182,0.3668457405986186,0.4373284537968893
Effusion,0.4828413726901848,0.3848017340303455,0.6479175611850579
Hernia,0.31343283582089554,0.4375,0.2441860465116279
Infiltration,0.41186582624410456,0.2818702865761689,0.7643979057591623
Mass,0.3080557524214505,0.262374245472837,0.37299771167048057
Nodule,0.22678396871945258,0.18793033616848925,0.2858903265557609
Atelectasis,0.32219251336898397,0.23453357430835534,0.5144861238182372
Pneumothorax,0.39103533617489344,0.30859375,0.5335834896810506
Pleural_Thickening,0.16785796633617708,0.11396368190356919,0.3184601924759405
Pneumonia,0.06898470097357441,0.04078947368421053,0.22342342342342342
Fibrosis,0.1121251629726206,0.07825295723384895,0.19770114942528735
Edema,0.2031858407079646,0.15105263157894736,0.31027027027027027
Consolidation,0.19634310958399803,0.12630249447426586,0.44077134986225897
